order_id,restaurant_id,delivery_person_id,user_id,restaurant_latitude,restaurant_longitude,delivery_location_latitude,delivery_location_longitude,order_date,time_ordered,time_order_picked,weather_conditions,road_traffic_density,vehicle_condition,type_of_order,type_of_vehicle,multiple_deliveries,festival,city,time_taken_min
ORD000001,R0305,D01676,U01791,12.930475,77.582359,12.935851,77.534887,2023-10-29,12:53,13:13,Cloudy,High,0,Snack,scooter,0,No,Bengaluru,36
ORD000002,R0396,D01227,U00291,12.944598,77.696225,12.93678,77.56958,2024-05-16,14:20,14:35,Sunny,Low,2,Buffet,motorcycle,1,No,Bengaluru,26
ORD000003,R0439,D00118,U00066,12.987955,77.563305,13.007776,77.544599,2023-02-12,09:05,09:39,Windy,Jam,0,Snack,electric_scooter,3,No,Bengaluru,67
ORD000004,R0144,D00286,U03055,12.936682,77.534046,12.97045,77.623755,2023-01-18,21:06,21:33,Rainy,Medium,0,Drinks,scooter,0,No,Bengaluru,40
ORD000005,R0151,D00631,U04093,12.928819,77.568173,12.8544,77.583533,2024-01-31,19:15,19:50,Rainy,Jam,2,Buffet,motorcycle,3,No,Bengaluru,65
ORD000006,R0414,D00118,U00572,12.917517,77.549845,12.932133,77.584579,2023-11-15,21:33,21:49,Sunny,Low,0,Buffet,electric_scooter,1,No,Bengaluru,35
ORD000007,R0472,D00106,U01234,12.929154,77.536912,12.963211,77.6175,2023-08-23,20:47,21:02,Cloudy,Medium,2,Meal,scooter,1,No,Bengaluru,27
ORD000008,R0249,D01278,U03578,12.852214,77.690441,12.853674,77.686085,2024-04-19,13:10,13:28,Windy,High,2,Drinks,scooter,1,Yes,Bengaluru,38
ORD000009,R0346,D01937,U03787,12.941282,77.588142,13.045197,77.599564,2024-12-19,14:23,14:37,Foggy,High,1,Drinks,motorcycle,1,No,Bengaluru,47
ORD000010,R0254,D01692,U03362,12.936108,77.577812,12.933873,77.578357,2024-07-12,20:13,20:46,Cloudy,Medium,2,Meal,motorcycle,0,Yes,Bengaluru,25
ORD000011,R0146,D00009,U03799,12.88469,77.630806,12.981713,77.511094,2023-11-19,13:16,13:36,Sunny,Jam,0,Meal,motorcycle,0,No,Bengaluru,57
ORD000012,R0078,D00133,U00526,12.922251,77.582524,12.991348,77.680044,2024-06-09,10:50,11:21,Sunny,Medium,2,Meal,scooter,0,No,Bengaluru,44
ORD000013,R0351,D01059,U03930,12.976082,77.637173,13.030671,77.589325,2024-12-30,22:20,22:37,Windy,Medium,1,Meal,motorcycle,2,No,Bengaluru,44
ORD000014,R0149,D01446,U02809,12.849594,77.683026,12.928939,77.553348,2024-09-04,19:06,19:35,Windy,Medium,2,Snack,motorcycle,1,No,Bengaluru,40
ORD000015,R0418,D01978,U03783,12.828791,77.673935,13.032089,77.586399,2023-06-04,13:27,13:56,Cloudy,High,2,Drinks,motorcycle,0,No,Bengaluru,44
ORD000016,R0453,D01438,U02613,12.953867,77.724931,13.109294,77.607606,2023-02-01,19:27,19:54,Sunny,High,2,Buffet,motorcycle,0,No,Bengaluru,41
ORD000017,R0130,D01083,U04517,12.948132,77.711627,12.973243,77.693859,2024-10-18,13:09,13:30,Foggy,High,0,Drinks,motorcycle,0,No,Bengaluru,56
ORD000018,R0242,D01552,U03227,12.958627,77.711522,12.978157,77.552698,2024-06-10,21:09,21:27,Foggy,High,1,Buffet,motorcycle,3,Yes,Bengaluru,45
ORD000019,R0192,D01194,U01728,13.113407,77.584916,12.946873,77.591177,2023-07-20,12:46,12:56,Rainy,Medium,0,Snack,scooter,2,No,Bengaluru,44
ORD000020,R0323,D01292,U00815,12.861411,77.59307,12.925283,77.622101,2023-10-31,12:17,12:48,Cloudy,Medium,1,Drinks,motorcycle,2,No,Bengaluru,32
ORD000021,R0210,D00831,U00828,12.911512,77.631029,12.917592,77.59736,2023-04-20,19:18,19:44,Rainy,Medium,1,Buffet,motorcycle,1,No,Bengaluru,44
ORD000022,R0406,D01086,U00359,12.927888,77.568979,12.960103,77.642442,2024-01-18,13:09,13:26,Windy,Low,0,Snack,electric_scooter,0,No,Bengaluru,42
ORD000023,R0350,D00026,U00920,12.925534,77.552354,13.013908,77.681991,2023-09-25,13:34,14:00,Sunny,Medium,1,Snack,motorcycle,0,No,Bengaluru,33
ORD000024,R0198,D00564,U00263,12.976382,77.615116,12.930925,77.560127,2024-07-04,13:22,13:47,Rainy,Low,2,Snack,scooter,0,No,Bengaluru,45
ORD000025,R0476,D01623,U00039,12.952089,77.723918,12.910568,77.609952,2024-09-22,20:20,20:48,Sunny,High,2,Snack,scooter,0,No,Bengaluru,47
ORD000026,R0304,D01323,U01636,12.919872,77.642487,12.970555,77.693133,2023-07-12,19:12,19:34,Rainy,Low,1,Buffet,scooter,0,No,Bengaluru,38
ORD000027,R0372,D01295,U00697,12.902957,77.624229,12.900211,77.630138,2024-06-26,23:08,23:42,Cloudy,Jam,2,Drinks,motorcycle,3,No,Bengaluru,64
ORD000028,R0094,D01072,U01977,12.937567,77.578406,12.873535,77.676511,2023-06-29,22:21,22:43,Cloudy,Medium,1,Meal,motorcycle,0,No,Bengaluru,36
ORD000029,R0196,D00734,U04323,12.908259,77.632039,12.997971,77.685285,2023-09-20,12:11,12:42,Foggy,High,2,Meal,bicycle,0,No,Bengaluru,50
ORD000030,R0451,D00692,U03950,12.948777,77.56514,12.975444,77.543071,2024-08-05,14:13,14:43,Sunny,Medium,1,Snack,motorcycle,1,No,Bengaluru,30
ORD000031,R0134,D00436,U00373,12.958021,77.706768,12.87803,77.610702,2024-04-05,20:04,20:36,Cloudy,Medium,1,Drinks,scooter,0,No,Bengaluru,40
ORD000032,R0323,D00575,U01992,12.861411,77.59307,12.918147,77.593,2024-02-07,13:41,13:55,Cloudy,Medium,2,Meal,motorcycle,0,No,Bengaluru,42
ORD000033,R0117,D01707,U03191,12.988311,77.655277,12.981686,77.766733,2023-11-19,20:00,20:26,Windy,Medium,1,Buffet,bicycle,0,Yes,Bengaluru,40
ORD000034,R0092,D00447,U03252,12.957546,77.763189,12.846473,77.697504,2024-04-07,13:53,14:17,Windy,High,0,Drinks,motorcycle,0,No,Bengaluru,35
ORD000035,R0318,D00819,U03290,12.977889,77.607503,12.969024,77.761839,2024-11-27,14:14,14:28,Rainy,High,1,Buffet,motorcycle,1,No,Bengaluru,49
ORD000036,R0416,D00914,U03927,12.857652,77.581668,13.048764,77.581877,2024-10-18,21:52,22:27,Windy,Medium,2,Drinks,motorcycle,3,No,Bengaluru,36
ORD000037,R0363,D01486,U01385,12.861812,77.589061,12.989747,77.56021,2023-04-16,23:09,23:27,Sunny,Jam,0,Buffet,motorcycle,2,No,Bengaluru,56
ORD000038,R0351,D00207,U04591,12.976082,77.637173,12.927068,77.6248,2024-01-02,20:39,20:53,Cloudy,High,0,Snack,motorcycle,1,No,Bengaluru,50
ORD000039,R0197,D00518,U00434,12.989898,77.563332,13.094016,77.613019,2024-12-09,14:31,14:49,Rainy,Medium,2,Snack,electric_scooter,3,No,Bengaluru,38
ORD000040,R0268,D00059,U00668,12.920449,77.604512,12.988772,77.621426,2023-05-22,13:42,14:04,Cloudy,High,0,Meal,motorcycle,2,No,Bengaluru,40
ORD000041,R0008,D00376,U00074,12.917777,77.616801,12.987849,77.625259,2024-06-21,13:04,13:39,Rainy,High,1,Meal,scooter,1,Yes,Bengaluru,42
ORD000042,R0386,D00574,U01443,12.895583,77.583027,12.978635,77.583459,2023-08-23,21:25,21:42,Cloudy,Medium,1,Buffet,electric_scooter,3,No,Bengaluru,44
ORD000043,R0026,D01519,U02125,13.115399,77.597812,12.920109,77.598618,2023-05-19,19:04,19:19,Windy,Low,2,Snack,motorcycle,1,No,Bengaluru,29
ORD000044,R0104,D01539,U01809,12.943068,77.568147,12.964119,77.629781,2024-09-17,14:21,14:40,Foggy,Low,2,Buffet,motorcycle,2,No,Bengaluru,39
ORD000045,R0080,D00261,U04387,12.902644,77.58381,12.893927,77.602231,2023-03-17,08:06,08:35,Sunny,Jam,0,Meal,scooter,0,Yes,Bengaluru,63
ORD000046,R0285,D01490,U00934,13.088919,77.588101,12.884356,77.590303,2024-01-16,12:51,13:23,Cloudy,Medium,1,Buffet,bicycle,0,No,Bengaluru,28
ORD000047,R0105,D00108,U04098,13.002025,77.563868,12.901463,77.635265,2023-05-06,22:53,23:19,Rainy,Medium,1,Snack,motorcycle,1,No,Bengaluru,49
ORD000048,R0031,D01276,U03246,12.968111,77.60744,12.956925,77.643365,2023-05-17,22:24,22:42,Windy,Low,1,Snack,motorcycle,0,Yes,Bengaluru,39
ORD000049,R0277,D01071,U03630,12.880591,77.589903,13.005302,77.540257,2023-04-29,15:28,15:59,Sunny,Low,1,Snack,scooter,0,No,Bengaluru,35
ORD000050,R0159,D00781,U04841,12.979948,77.642104,12.912917,77.614598,2023-01-09,14:26,14:57,Cloudy,Low,2,Meal,scooter,0,No,Bengaluru,42
ORD000051,R0050,D01670,U02098,12.9788,77.555922,12.873148,77.671263,2023-04-20,14:38,14:52,Foggy,Medium,0,Snack,scooter,2,No,Bengaluru,34
ORD000052,R0172,D01772,U00318,12.916086,77.554728,12.944911,77.698264,2023-10-02,16:22,16:56,Cloudy,Jam,1,Buffet,scooter,1,No,Bengaluru,57
ORD000053,R0253,D00465,U00114,12.859361,77.58702,12.915021,77.531772,2023-03-12,13:30,13:42,Cloudy,Low,2,Buffet,motorcycle,0,No,Bengaluru,39
ORD000054,R0064,D01885,U01207,12.975931,77.597008,12.975052,77.759517,2023-12-29,12:05,12:16,Cloudy,Low,0,Buffet,bicycle,0,No,Bengaluru,33
ORD000055,R0261,D01542,U02252,12.97232,77.643006,12.997568,77.681803,2024-01-06,15:35,15:48,Cloudy,Low,2,Snack,bicycle,0,Yes,Bengaluru,39
ORD000056,R0024,D00210,U00863,13.007168,77.577561,12.929582,77.610414,2024-08-26,12:43,13:06,Windy,Medium,2,Snack,motorcycle,2,Yes,Bengaluru,52
ORD000057,R0416,D01371,U01268,12.857652,77.581668,12.98693,77.736071,2024-05-27,21:16,21:45,Sunny,Medium,1,Buffet,motorcycle,2,No,Bengaluru,33
ORD000058,R0264,D00604,U04959,12.870975,77.581197,12.934813,77.545124,2024-02-27,22:37,22:49,Sunny,Medium,0,Buffet,motorcycle,0,No,Bengaluru,38
ORD000059,R0156,D00305,U01993,12.831202,77.684243,12.988068,77.6235,2024-09-24,13:01,13:13,Rainy,High,0,Snack,motorcycle,0,No,Bengaluru,51
ORD000060,R0067,D00619,U02625,12.888264,77.632324,12.918869,77.611509,2023-07-29,14:53,15:11,Sunny,High,0,Drinks,motorcycle,0,No,Bengaluru,49
ORD000061,R0125,D01910,U00277,12.894407,77.578133,12.951371,77.707481,2023-05-22,21:08,21:30,Sunny,Jam,1,Drinks,motorcycle,0,No,Bengaluru,57
ORD000062,R0389,D01563,U03463,12.982387,77.612937,12.967107,77.738595,2023-09-20,12:46,12:56,Cloudy,Low,1,Buffet,motorcycle,0,No,Bengaluru,34
ORD000063,R0112,D01819,U01452,12.945479,77.693319,12.918806,77.6368,2023-07-07,11:44,12:19,Sunny,Medium,0,Snack,scooter,2,No,Bengaluru,22
ORD000064,R0234,D01496,U03544,12.857974,77.596721,12.853365,77.678478,2024-03-15,14:09,14:31,Rainy,Medium,0,Buffet,motorcycle,0,No,Bengaluru,36
ORD000065,R0144,D00083,U00131,12.936682,77.534046,12.828557,77.669152,2023-06-10,11:58,12:31,Foggy,Jam,0,Buffet,scooter,0,No,Bengaluru,65
ORD000066,R0145,D00746,U03039,13.086575,77.597773,13.008683,77.573469,2024-02-01,14:55,15:30,Sunny,Medium,1,Drinks,electric_scooter,0,Yes,Bengaluru,33
ORD000067,R0130,D01896,U00765,12.948132,77.711627,12.912771,77.539779,2024-02-18,22:59,23:29,Sunny,Low,2,Meal,scooter,0,No,Bengaluru,31
ORD000068,R0322,D00835,U02704,12.967445,77.71713,12.997403,77.710753,2024-10-21,11:02,11:37,Sunny,Jam,0,Buffet,scooter,0,No,Bengaluru,46
ORD000069,R0177,D01357,U00289,12.863439,77.588149,12.986434,77.577864,2024-06-25,21:55,22:16,Sunny,High,1,Meal,electric_scooter,2,No,Bengaluru,42
ORD000070,R0108,D01964,U01140,12.952409,77.684927,12.961658,77.520704,2024-09-17,19:47,20:20,Sunny,Low,2,Drinks,bicycle,1,No,Bengaluru,38
ORD000071,R0125,D01925,U03350,12.894407,77.578133,12.823442,77.690496,2023-10-26,19:31,19:47,Windy,Low,2,Snack,scooter,0,Yes,Bengaluru,41
ORD000072,R0443,D00298,U04365,12.991307,77.590246,12.856306,77.685032,2023-03-16,13:07,13:27,Sunny,Low,0,Meal,scooter,1,No,Bengaluru,39
ORD000073,R0415,D01061,U04313,12.930297,77.661368,12.969443,77.704111,2023-05-03,21:02,21:25,Sunny,Medium,1,Buffet,motorcycle,0,No,Bengaluru,43
ORD000074,R0246,D01563,U03388,12.91697,77.597311,12.94149,77.6282,2023-03-04,14:58,15:32,Sunny,Medium,1,Snack,motorcycle,0,No,Bengaluru,41
ORD000075,R0044,D00558,U01870,12.967161,77.50781,12.902672,77.608491,2023-08-03,12:45,13:18,Cloudy,Medium,0,Drinks,motorcycle,0,No,Bengaluru,45
ORD000076,R0461,D00969,U01648,12.957904,77.724682,12.982281,77.622054,2024-03-19,13:21,13:44,Rainy,High,1,Meal,scooter,2,No,Bengaluru,53
ORD000077,R0420,D00876,U03242,12.936337,77.671918,12.954897,77.650128,2024-04-09,12:13,12:25,Sunny,Jam,2,Buffet,motorcycle,3,Yes,Bengaluru,44
ORD000078,R0212,D00317,U03623,12.969533,77.49353,12.990082,77.681187,2023-02-18,08:54,09:18,Cloudy,Low,0,Meal,electric_scooter,1,No,Bengaluru,30
ORD000079,R0006,D01307,U02773,12.927017,77.573646,13.091446,77.613999,2023-03-25,19:51,20:09,Sunny,Low,1,Drinks,motorcycle,0,No,Bengaluru,31
ORD000080,R0091,D01208,U03315,13.092464,77.583581,12.822355,77.685842,2024-09-22,14:21,14:31,Windy,Jam,0,Buffet,electric_scooter,1,No,Bengaluru,53
ORD000081,R0218,D01154,U04524,12.927257,77.630567,12.972005,77.49166,2023-12-23,21:01,21:29,Sunny,Jam,0,Meal,motorcycle,0,No,Bengaluru,45
ORD000082,R0086,D00291,U00016,12.955548,77.632192,12.927418,77.684038,2023-05-03,14:49,15:06,Foggy,Medium,2,Meal,electric_scooter,3,No,Bengaluru,39
ORD000083,R0446,D00736,U03078,12.8692,77.678823,12.905688,77.602284,2023-08-30,21:26,21:45,Rainy,Low,0,Meal,motorcycle,0,No,Bengaluru,34
ORD000084,R0290,D00241,U03757,12.975829,77.493742,12.909332,77.620747,2023-05-01,10:06,10:39,Sunny,High,1,Meal,motorcycle,2,No,Bengaluru,38
ORD000085,R0146,D01197,U01752,12.88469,77.630806,12.989665,77.677896,2024-12-03,14:40,15:06,Sunny,Medium,2,Drinks,motorcycle,0,No,Bengaluru,33
ORD000086,R0228,D01190,U03822,12.97301,77.717312,12.944468,77.58388,2023-10-05,22:36,23:09,Cloudy,Low,1,Buffet,electric_scooter,3,No,Bengaluru,32
ORD000087,R0035,D01502,U01738,12.983289,77.61168,12.926503,77.531524,2024-08-15,23:24,23:50,Sunny,Medium,0,Snack,motorcycle,1,No,Bengaluru,29
ORD000088,R0419,D00880,U01725,13.106665,77.599956,12.967809,77.704397,2024-09-19,20:13,20:40,Sunny,Jam,2,Snack,motorcycle,2,Yes,Bengaluru,50
ORD000089,R0382,D01598,U03009,12.863837,77.672579,12.86819,77.686751,2023-12-22,18:26,18:45,Rainy,High,1,Drinks,motorcycle,2,No,Bengaluru,58
ORD000090,R0137,D00308,U02072,12.940471,77.574122,12.949987,77.698567,2023-03-18,19:03,19:24,Cloudy,Jam,2,Drinks,motorcycle,2,No,Bengaluru,53
ORD000091,R0494,D00918,U03991,12.975212,77.753947,12.923642,77.560134,2024-01-29,15:56,16:07,Sunny,Medium,0,Snack,bicycle,0,No,Bengaluru,28
ORD000092,R0383,D00158,U00345,12.947206,77.621937,13.085468,77.583851,2023-01-13,13:20,13:36,Cloudy,Low,2,Meal,scooter,3,Yes,Bengaluru,32
ORD000093,R0052,D01544,U03847,12.923479,77.574005,12.985913,77.595337,2024-05-19,15:15,15:27,Cloudy,Low,0,Snack,motorcycle,0,No,Bengaluru,26
ORD000094,R0295,D00276,U00066,12.908959,77.616269,13.007776,77.544599,2024-01-03,22:49,23:22,Sunny,Medium,0,Meal,bicycle,1,No,Bengaluru,28
ORD000095,R0353,D00480,U01415,13.112266,77.597393,12.856799,77.694971,2023-02-08,14:04,14:29,Cloudy,High,1,Meal,scooter,0,No,Bengaluru,41
ORD000096,R0268,D01107,U02470,12.920449,77.604512,12.916335,77.556978,2024-03-08,12:31,12:49,Cloudy,Jam,0,Drinks,bicycle,3,No,Bengaluru,58
ORD000097,R0095,D01733,U02641,13.001718,77.591398,12.843463,77.686368,2023-05-18,15:57,16:10,Stormy,High,2,Snack,motorcycle,0,No,Bengaluru,53
ORD000098,R0274,D01338,U04346,13.031496,77.603271,12.978363,77.745036,2024-10-04,09:47,10:22,Sunny,Low,2,Drinks,scooter,3,No,Bengaluru,33
ORD000099,R0133,D00694,U00425,12.915601,77.615416,12.915999,77.627623,2024-08-11,22:56,23:08,Rainy,Medium,0,Drinks,electric_scooter,3,No,Bengaluru,57
ORD000100,R0333,D01834,U02565,12.97609,77.548043,12.968736,77.623589,2024-01-12,21:14,21:29,Sunny,Jam,0,Meal,scooter,0,Yes,Bengaluru,51
ORD000101,R0478,D01879,U02000,12.972085,77.696559,12.982878,77.648735,2023-05-12,20:03,20:25,Foggy,Medium,0,Snack,scooter,1,No,Bengaluru,36
ORD000102,R0432,D01653,U00170,13.029648,77.585288,12.956796,77.679906,2023-07-14,11:35,11:57,Sunny,Jam,0,Drinks,motorcycle,1,No,Bengaluru,50
ORD000103,R0422,D00264,U02055,12.996162,77.560215,12.921244,77.634418,2024-06-12,20:34,20:58,Cloudy,Low,2,Buffet,motorcycle,1,No,Bengaluru,40
ORD000104,R0081,D00555,U03235,12.976111,77.646812,12.922207,77.617789,2024-08-06,09:56,10:30,Rainy,Jam,2,Meal,motorcycle,0,No,Bengaluru,57
ORD000105,R0243,D01785,U00914,12.918475,77.596141,12.912904,77.622585,2023-10-11,12:44,13:10,Rainy,Jam,0,Snack,scooter,0,No,Bengaluru,61
ORD000106,R0190,D01481,U01445,12.950571,77.587584,12.937288,77.62658,2023-08-12,14:41,14:59,Windy,Medium,1,Snack,motorcycle,0,No,Bengaluru,40
ORD000107,R0449,D01734,U02200,12.964418,77.707327,12.936662,77.578307,2023-03-31,23:27,23:46,Sunny,Medium,1,Buffet,motorcycle,0,No,Bengaluru,44
ORD000108,R0252,D00946,U03615,12.998835,77.591543,12.979977,77.758446,2024-04-20,23:07,23:38,Foggy,High,1,Drinks,motorcycle,0,No,Bengaluru,41
ORD000109,R0461,D00256,U04836,12.957904,77.724682,12.972901,77.711476,2023-03-22,13:24,13:39,Stormy,High,0,Drinks,bicycle,0,Yes,Bengaluru,61
ORD000110,R0422,D00855,U02453,12.996162,77.560215,12.930645,77.573023,2024-12-19,14:30,14:46,Rainy,High,0,Meal,motorcycle,1,Yes,Bengaluru,46
ORD000111,R0252,D01580,U00483,12.998835,77.591543,12.956332,77.512228,2023-12-15,22:06,22:39,Foggy,Medium,0,Snack,motorcycle,3,Yes,Bengaluru,35
ORD000112,R0447,D00282,U01956,12.976401,77.511855,12.922817,77.639642,2023-11-15,21:03,21:25,Cloudy,High,2,Drinks,bicycle,1,No,Bengaluru,32
ORD000113,R0167,D01025,U04915,12.999226,77.559421,12.984783,77.610599,2024-08-19,22:35,23:05,Rainy,Medium,1,Meal,motorcycle,1,No,Bengaluru,37
ORD000114,R0270,D01461,U02868,12.9839,77.503611,12.998378,77.697735,2023-08-24,13:13,13:25,Windy,Jam,0,Buffet,scooter,1,Yes,Bengaluru,56
ORD000115,R0247,D00807,U04070,12.936284,77.574518,12.831491,77.67321,2024-07-31,20:09,20:27,Sunny,Low,1,Meal,motorcycle,3,No,Bengaluru,41
ORD000116,R0455,D00333,U00290,12.848686,77.666244,12.978639,77.497029,2024-06-23,13:13,13:40,Sunny,Jam,0,Meal,motorcycle,0,No,Bengaluru,58
ORD000117,R0176,D01630,U02517,12.912017,77.596057,12.974804,77.679511,2024-10-19,13:48,14:17,Windy,High,1,Buffet,scooter,2,No,Bengaluru,56
ORD000118,R0490,D01979,U03341,12.922567,77.571266,12.956412,77.631658,2024-10-09,13:16,13:37,Cloudy,High,0,Buffet,motorcycle,1,No,Bengaluru,44
ORD000119,R0234,D01620,U04373,12.857974,77.596721,12.973738,77.551314,2023-10-12,17:14,17:34,Sunny,Low,2,Drinks,motorcycle,0,No,Bengaluru,20
ORD000120,R0208,D01501,U04050,12.833909,77.6785,12.949627,77.559418,2024-08-21,12:53,13:18,Cloudy,High,0,Snack,motorcycle,2,Yes,Bengaluru,39
ORD000121,R0370,D00709,U00415,12.86652,77.604042,12.993752,77.569647,2023-10-06,23:23,23:57,Rainy,Medium,2,Buffet,motorcycle,0,No,Bengaluru,51
ORD000122,R0301,D00286,U01403,12.925485,77.681521,12.913392,77.630965,2023-06-30,19:18,19:32,Rainy,High,0,Buffet,scooter,1,No,Bengaluru,59
ORD000123,R0214,D01004,U03806,12.845434,77.683306,12.919755,77.585783,2023-02-17,14:57,15:08,Windy,High,0,Buffet,scooter,2,No,Bengaluru,41
ORD000124,R0117,D00667,U04389,12.988311,77.655277,12.918385,77.601418,2024-10-26,18:08,18:27,Sunny,Medium,0,Snack,motorcycle,0,Yes,Bengaluru,32
ORD000125,R0238,D01393,U03590,12.916496,77.579313,12.910303,77.626317,2024-11-01,18:37,18:49,Foggy,High,2,Meal,bicycle,0,No,Bengaluru,48
ORD000126,R0418,D00191,U00106,12.828791,77.673935,13.004443,77.615035,2024-07-02,12:19,12:49,Rainy,Medium,0,Meal,motorcycle,0,No,Bengaluru,49
ORD000127,R0213,D01881,U02908,12.934322,77.629765,12.91162,77.546101,2024-09-25,19:12,19:32,Stormy,Low,2,Meal,scooter,0,No,Bengaluru,39
ORD000128,R0179,D01094,U02438,13.000466,77.557372,12.894356,77.633107,2023-02-10,22:04,22:22,Sunny,High,0,Meal,bicycle,1,No,Bengaluru,36
ORD000129,R0265,D01543,U00108,12.980501,77.499879,12.992172,77.556953,2023-11-21,16:04,16:37,Stormy,Low,1,Drinks,motorcycle,0,Yes,Bengaluru,41
ORD000130,R0057,D01189,U00062,12.964752,77.6122,12.982613,77.50471,2023-07-26,10:34,10:53,Sunny,Medium,1,Drinks,electric_scooter,1,Yes,Bengaluru,23
ORD000131,R0215,D01590,U02805,12.849488,77.696127,12.864331,77.681393,2023-09-20,14:10,14:33,Sunny,Low,0,Drinks,motorcycle,3,No,Bengaluru,32
