restaurant_id,name,url,address,location_neighborhood,latitude,longitude,phone,rate,votes,approx_cost_for_two,rest_type,cuisines,online_order,book_table,dish_liked,listed_in_type,listed_in_city
R0001,Choudhury Bakshi and Maharaj Restaurant,https://www.zomato.com/bengaluru/restaurant-1,"130, Brookefield, Bengaluru",Brookefield,12.94644,77.720147,+919083863794,4.1,156,250,Fine Dining,Pizza,No,No,"Idli, Dosa, Chicken Curry",Cafes,Brookefield
R0002,Kapoor and Sons Kitchen,https://www.zomato.com/bengaluru/restaurant-2,"187, Jayanagar, Bengaluru",Jayanagar,12.922259,77.591705,+917816184959,3.9,3200,200,Quick Bites,Chinese,Yes,No,"Idli, Cake, Tandoori, Momos, Pizza",Delivery,Jayanagar
R0003,Chaudry Chahal and Sami Bistro,https://www.zomato.com/bengaluru/restaurant-3,"163, Marathahalli, Bengaluru",Marathahalli,12.970095,77.693804,+912832764835,4.6,966,300,Dhaba,"Thai, Fast Food",Yes,No,"Cake, Noodles, Paneer Tikka, Pasta",Lunch,Marathahalli
R0004,Balan Inc ,https://www.zomato.com/bengaluru/restaurant-4,"144, Bellandur, Bengaluru",Bellandur,12.912686,77.687794,+918496965328,3.5,8135,200,Dhaba,"Seafood, Biryani, Burger",Yes,Yes,"Veg Thali, Pizza, Paneer Tikka, Dosa, Idli",Dine-out,Bellandur
R0005,Kaul PLC Cafe,https://www.zomato.com/bengaluru/restaurant-5,"197, Brookefield, Bengaluru",Brookefield,12.947899,77.718314,+915146270482,4.7,8367,200,Dhaba,"Chinese, Mughlai, Sandwich",Yes,No,"Tandoori, Paneer Tikka, Biryani, Shake, Cake",Desserts,Brookefield
R0006,Bala Issac and Saini Cafe,https://www.zomato.com/bengaluru/restaurant-6,"62, Jayanagar, Bengaluru",Jayanagar,12.927017,77.573646,+910391171822,4.6,10859,800,Takeaway,"North Indian, Seafood, Burger",Yes,No,"Idli, Cake",Lunch,Jayanagar
R0007,Sen PLC Kitchen,https://www.zomato.com/bengaluru/restaurant-7,"151, BTM Layout, Bengaluru",BTM Layout,12.929467,77.617758,+918393010310,3.8,5463,200,Takeaway,"Biryani, Desserts, Mughlai",Yes,No,"Veg Thali, Tandoori, Pasta, Butter Chicken",Dinner,BTM Layout
R0008,Ahuja-Dutta Cafe,https://www.zomato.com/bengaluru/restaurant-8,"109, BTM Layout, Bengaluru",BTM Layout,12.917777,77.616801,+916701065133,4.0,3166,1000,Delivery,"Burger, Pizza, Rolls",Yes,No,"Noodles, Idli, Tandoori, Shake, Pasta",Dine-out,BTM Layout
R0009,Sami Oak and Mall Restaurant,https://www.zomato.com/bengaluru/restaurant-9,"43, Bellandur, Bengaluru",Bellandur,12.924579,77.686635,+916773602606,5.0,4395,800,Cafe,Street Food,No,No,"Butter Chicken, Biryani",Dinner,Bellandur
R0010,Kale LLC Kitchen,https://www.zomato.com/bengaluru/restaurant-10,"150, Jayanagar, Bengaluru",Jayanagar,12.921497,77.575331,+917882081219,3.5,1163,300,Delivery,Rolls,Yes,No,"Shake, Butter Chicken",Desserts,Jayanagar
R0011,Chanda Group Cafe,https://www.zomato.com/bengaluru/restaurant-11,"118, Shivajinagar, Bengaluru",Shivajinagar,12.989636,77.604581,+915107991183,3.1,8338,400,Casual Dining,"Sandwich, Seafood",Yes,Yes,"Noodles, Shake, Fried Rice, Pizza",Desserts,Shivajinagar
